MaterialDefinition,MaterialClass,LotNumber,Quantity,Unit,Transaction Date,Manufacturer
AI_Chip_Friday_01,AI Chip,AIC_F_01_001,1,EA,2024-07-18T20:33:52Z,Stark Industries NY
AI_Chip_Friday_01,AI Chip,AIC_F_01_002,1,EA,2024-10-21T03:00:05Z,Stark Industries West
AI_Chip_Friday_01,AI Chip,AIC_F_01_003,1,EA,2024-08-21T22:30:42Z,Stark Industries East
AI_Chip_Friday_02,AI Chip,AIC_F_02_001,1,EA,2024-09-11T01:53:05Z,Stark Industries NY
AI_Chip_Friday_02,AI Chip,AIC_F_02_002,1,EA,2024-08-09T15:59:44Z,Stark Industries West
AI_Chip_Friday_02,AI Chip,AIC_F_02_003,1,EA,2024-07-05T10:59:43Z,Stark Industries East
AI_Chip_Friday_03,AI Chip,AIC_F_03_001,1,EA,2024-09-24T21:28:28Z,Stark Industries NY
AI_Chip_Friday_03,AI Chip,AIC_F_03_002,1,EA,2024-09-16T17:38:30Z,Stark Industries West
AI_Chip_Friday_03,AI Chip,AIC_F_03_003,1,EA,2024-08-27T12:06:49Z,Stark Industries East
AI_Chip_Friday_04,AI Chip,AIC_F_04_001,1,EA,2024-10-10T02:35:57Z,Stark Industries NY
AI_Chip_Friday_04,AI Chip,AIC_F_04_002,1,EA,2024-07-12T21:04:32Z,Stark Industries West
AI_Chip_Friday_04,AI Chip,AIC_F_04_003,1,EA,2024-10-19T19:10:45Z,Stark Industries East
AI_Chip_Friday_04,AI Chip,AIC_F_04_004,1,EA,2024-09-26T05:03:59Z,Stark Industries NY
AI_Chip_Friday_04,AI Chip,AIC_F_04_005,1,EA,2024-08-01T10:02:02Z,Stark Industries West
AI_Chip_Friday_04,AI Chip,AIC_F_04_006,1,EA,2024-10-14T07:55:30Z,Stark Industries East
AI_Chip_Friday_04,AI Chip,AIC_F_04_007,1,EA,2024-09-07T05:45:25Z,Stark Industries NY
AI_Chip_Friday_04,AI Chip,AIC_F_04_008,1,EA,2024-08-02T18:52:29Z,Stark Industries West
Arm_Adamantium_001,Arm Piece,AR449369B,1,EA,2024-08-11T17:30:55Z,Oscorp
Arm_Adamantium_001,Arm Piece,AR240136B,1,EA,2024-10-23T09:01:12Z,Oscorp
Arm_Adamantium_001,Arm Piece,AR918315B,1,EA,2024-10-20T18:41:15Z,Oscorp
Arm_Adamantium_001,Arm Piece,AR625139C,1,EA,2024-07-08T01:34:47Z,Oscorp
Arm_Adamantium_001,Arm Piece,AR599688B,1,EA,2024-09-18T04:36:30Z,Oscorp
Arm_Adamantium_002,Arm Piece,AR156439C,1,EA,2024-07-02T20:35:50Z,Oscorp
Arm_Adamantium_002,Arm Piece,AR127339C,1,EA,2024-07-03T12:01:38Z,Oscorp
Arm_Adamantium_002,Arm Piece,AR433643B,1,EA,2024-09-14T22:18:56Z,Oscorp
Arm_Adamantium_002,Arm Piece,AR426301B,1,EA,2024-08-15T10:14:19Z,Oscorp
Arm_Adamantium_002,Arm Piece,AR904616B,1,EA,2024-10-06T18:52:02Z,Oscorp
Arm_Adamantium_003,Arm Piece,AR156570C,1,EA,2024-07-09T23:42:56Z,Oscorp
Arm_Adamantium_003,Arm Piece,AR330052A,1,EA,2024-08-25T21:35:38Z,Oscorp
Arm_Adamantium_003,Arm Piece,AR786626A,1,EA,2024-10-05T16:36:02Z,Oscorp
Arm_Adamantium_003,Arm Piece,AR371599B,1,EA,2024-09-07T18:52:03Z,Oscorp
Arm_Adamantium_003,Arm Piece,AR597003C,1,EA,2024-09-10T23:57:03Z,Oscorp
Arm_Adamantium_003,Arm Piece,AR992006A,1,EA,2024-08-05T05:07:42Z,Oscorp
Arm_Adamantium_003,Arm Piece,AR732635C,1,EA,2024-09-21T19:07:23Z,Oscorp
Arm_Adamantium_003,Arm Piece,AR338577A,1,EA,2024-07-20T14:43:49Z,Oscorp
Arm_Adamantium_004,Arm Piece,AR601164A,1,EA,2024-09-19T22:08:03Z,Oscorp
Arm_Adamantium_004,Arm Piece,AR250710B,1,EA,2024-09-21T19:49:09Z,Oscorp
Arm_Adamantium_004,Arm Piece,AR891779B,1,EA,2024-07-18T13:05:13Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR123325B,1,EA,2024-07-16T02:52:05Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR584628C,1,EA,2024-07-14T03:03:52Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR369772B,1,EA,2024-07-14T15:44:15Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR906861B,1,EA,2024-08-24T21:50:35Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR723831C,1,EA,2024-08-19T05:00:49Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR369548C,1,EA,2024-10-16T11:13:34Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR701549B,1,EA,2024-10-20T04:57:16Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR565796C,1,EA,2024-07-24T07:20:32Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR424990C,1,EA,2024-09-23T13:46:52Z,Oscorp
Arm_Adamantium_005,Arm Piece,AR762236A,1,EA,2024-07-09T03:03:00Z,Oscorp
Arm_Nanotech_001,Arm Piece,AR449369B,1,EA,2024-10-04T07:15:48Z,Stark Industries
Arm_Nanotech_001,Arm Piece,AR240136B,1,EA,2024-07-04T18:30:19Z,Pym Technologies
Arm_Nanotech_001,Arm Piece,AR918315B,1,EA,2024-09-13T22:44:16Z,Stark Industries
Arm_Nanotech_001,Arm Piece,AR625139C,1,EA,2024-08-01T06:11:38Z,Pym Technologies
Arm_Nanotech_001,Arm Piece,AR599688B,1,EA,2024-09-21T01:41:42Z,Stark Industries
Arm_Nanotech_002,Arm Piece,AR156439C,1,EA,2024-10-26T23:20:48Z,Pym Technologies
Arm_Nanotech_002,Arm Piece,AR127339C,1,EA,2024-09-15T07:18:54Z,Stark Industries
Arm_Nanotech_002,Arm Piece,AR433643B,1,EA,2024-10-20T12:36:38Z,Pym Technologies
Arm_Nanotech_002,Arm Piece,AR426301B,1,EA,2024-08-13T22:18:50Z,Stark Industries
Arm_Nanotech_002,Arm Piece,AR904616B,1,EA,2024-10-13T00:06:37Z,Pym Technologies
Arm_Nanotech_003,Arm Piece,AR156570C,1,EA,2024-08-28T13:55:41Z,Stark Industries
Arm_Nanotech_003,Arm Piece,AR330052A,1,EA,2024-09-08T02:29:30Z,Pym Technologies
Arm_Nanotech_003,Arm Piece,AR786626A,1,EA,2024-09-24T06:10:38Z,Stark Industries
Arm_Nanotech_003,Arm Piece,AR371599B,1,EA,2024-09-04T22:26:40Z,Pym Technologies
Arm_Nanotech_003,Arm Piece,AR597003C,1,EA,2024-09-10T09:18:20Z,Stark Industries
Arm_Nanotech_003,Arm Piece,AR992006A,1,EA,2024-07-21T06:38:40Z,Pym Technologies
Arm_Nanotech_003,Arm Piece,AR732635C,1,EA,2024-07-02T20:45:27Z,Stark Industries
Arm_Nanotech_003,Arm Piece,AR338577A,1,EA,2024-09-04T15:42:28Z,Pym Technologies
Arm_Nanotech_004,Arm Piece,AR601164A,1,EA,2024-09-28T17:43:20Z,Stark Industries
Arm_Nanotech_004,Arm Piece,AR250710B,1,EA,2024-08-10T20:19:34Z,Pym Technologies
Arm_Nanotech_004,Arm Piece,AR891779B,1,EA,2024-09-06T08:07:08Z,Stark Industries
Arm_Nanotech_005,Arm Piece,AR123325B,1,EA,2024-07-02T19:00:10Z,Pym Technologies
Arm_Nanotech_005,Arm Piece,AR584628C,1,EA,2024-08-05T19:13:20Z,Stark Industries
Arm_Nanotech_005,Arm Piece,AR369772B,1,EA,2024-09-01T07:21:52Z,Pym Technologies
Arm_Nanotech_005,Arm Piece,AR906861B,1,EA,2024-07-26T17:57:02Z,Stark Industries
Arm_Nanotech_005,Arm Piece,AR723831C,1,EA,2024-08-12T21:21:28Z,Pym Technologies
Arm_Nanotech_005,Arm Piece,AR369548C,1,EA,2024-07-20T21:26:53Z,Stark Industries
Arm_Nanotech_005,Arm Piece,AR701549B,1,EA,2024-08-05T18:40:05Z,Pym Technologies
Arm_Nanotech_005,Arm Piece,AR565796C,1,EA,2024-07-04T15:39:27Z,Stark Industries
Arm_Nanotech_005,Arm Piece,AR424990C,1,EA,2024-09-02T11:50:18Z,Pym Technologies
Arm_Nanotech_005,Arm Piece,AR762236A,1,EA,2024-09-22T12:39:47Z,Stark Industries
Arm_Vibranium_001,Arm Piece,AR914348C,1,EA,2024-08-09T22:09:57Z,Wakandan Design Group
Arm_Vibranium_001,Arm Piece,AR937222A,1,EA,2024-08-19T10:09:01Z,Wakandan Design Group
Arm_Vibranium_001,Arm Piece,AR968546A,1,EA,2024-09-14T23:46:48Z,Wakandan Design Group
Arm_Vibranium_001,Arm Piece,AR455976C,1,EA,2024-10-22T06:23:29Z,Wakandan Design Group
Arm_Vibranium_001,Arm Piece,AR828667B,1,EA,2024-08-25T05:39:36Z,Wakandan Design Group
Arm_Vibranium_001,Arm Piece,AR462156A,1,EA,2024-10-16T18:27:00Z,Wakandan Design Group
Arm_Vibranium_001,Arm Piece,AR533563C,1,EA,2024-10-17T16:35:30Z,Wakandan Design Group
Arm_Vibranium_001,Arm Piece,AR466104C,1,EA,2024-08-10T10:10:06Z,Wakandan Design Group
Arm_Vibranium_002,Arm Piece,AR833369C,1,EA,2024-07-07T04:51:46Z,Wakandan Design Group
Arm_Vibranium_002,Arm Piece,AR711879A,1,EA,2024-10-22T01:20:36Z,Wakandan Design Group
Arm_Vibranium_002,Arm Piece,AR200821B,1,EA,2024-10-18T17:39:36Z,Wakandan Design Group
Arm_Vibranium_002,Arm Piece,AR143787A,1,EA,2024-09-27T06:05:50Z,Wakandan Design Group
Arm_Vibranium_003,Arm Piece,AR440796A,1,EA,2024-07-13T21:02:50Z,Wakandan Design Group
Arm_Vibranium_003,Arm Piece,AR194798C,1,EA,2024-08-21T22:05:49Z,Wakandan Design Group
Arm_Vibranium_003,Arm Piece,AR125501B,1,EA,2024-08-02T12:26:30Z,Wakandan Design Group
Arm_Vibranium_003,Arm Piece,AR709571A,1,EA,2024-07-27T11:01:09Z,Wakandan Design Group
Arm_Vibranium_003,Arm Piece,AR260874B,1,EA,2024-09-23T10:38:23Z,Wakandan Design Group
Arm_Vibranium_004,Arm Piece,AR780374C,1,EA,2024-10-21T23:04:22Z,Wakandan Design Group
Arm_Vibranium_004,Arm Piece,AR387249C,1,EA,2024-07-02T07:57:50Z,Wakandan Design Group
Arm_Vibranium_004,Arm Piece,AR659368C,1,EA,2024-10-17T05:16:44Z,Wakandan Design Group
Arm_Vibranium_004,Arm Piece,AR524385C,1,EA,2024-09-17T09:10:09Z,Wakandan Design Group
Arm_Vibranium_004,Arm Piece,AR870841B,1,EA,2024-10-27T12:40:33Z,Wakandan Design Group
Arm_Vibranium_004,Arm Piece,AR200135A,1,EA,2024-07-24T20:52:04Z,Wakandan Design Group
Arm_Vibranium_005,Arm Piece,AR718489A,1,EA,2024-09-27T13:47:10Z,Wakandan Design Group
Arm_Vibranium_005,Arm Piece,AR900542A,1,EA,2024-08-06T01:48:51Z,Wakandan Design Group
Arm_Vibranium_005,Arm Piece,AR800077A,1,EA,2024-08-11T01:39:16Z,Wakandan Design Group
Arm_Vibranium_005,Arm Piece,AR825183C,1,EA,2024-10-25T08:01:53Z,Wakandan Design Group
Bucky_Arm_Vibranium_001,Arm Piece,BU296319B,1,EA,2024-10-14T18:06:01Z,Rand Corporation
Bucky_Arm_Vibranium_001,Arm Piece,BU456857A,1,EA,2024-09-02T16:55:05Z,Roxxon
Bucky_Arm_Vibranium_001,Arm Piece,BU710301A,1,EA,2024-10-01T03:29:15Z,Alchemax
Bucky_Arm_Vibranium_001,Arm Piece,BU661683C,1,EA,2024-08-13T17:43:42Z,Rand Corporation
Bucky_Arm_Vibranium_001,Arm Piece,BU861512A,1,EA,2024-10-07T23:30:30Z,Roxxon
Bucky_Arm_Vibranium_001,Arm Piece,BU511488C,1,EA,2024-10-07T17:33:45Z,Alchemax
Bucky_Arm_Vibranium_001,Arm Piece,BU464967B,1,EA,2024-07-12T04:02:52Z,Rand Corporation
Bucky_Arm_Vibranium_001,Arm Piece,BU710600B,1,EA,2024-10-15T23:24:31Z,Roxxon
Bucky_Arm_Vibranium_001,Arm Piece,BU506151C,1,EA,2024-08-12T22:35:54Z,Alchemax
Bucky_Arm_Vibranium_002,Arm Piece,BU523689C,1,EA,2024-07-20T03:15:26Z,Rand Corporation
Bucky_Arm_Vibranium_002,Arm Piece,BU448615A,1,EA,2024-07-09T01:53:58Z,Roxxon
Bucky_Arm_Vibranium_002,Arm Piece,BU316873C,1,EA,2024-07-12T16:34:47Z,Alchemax
Bucky_Arm_Vibranium_002,Arm Piece,BU940986A,1,EA,2024-09-05T12:54:44Z,Rand Corporation
Bucky_Arm_Vibranium_002,Arm Piece,BU657351A,1,EA,2024-10-09T09:29:50Z,Roxxon
Bucky_Arm_Vibranium_002,Arm Piece,BU117920A,1,EA,2024-10-17T09:00:04Z,Alchemax
Bucky_Arm_Vibranium_002,Arm Piece,BU981147C,1,EA,2024-10-16T04:52:54Z,Rand Corporation
Bucky_Arm_Vibranium_003,Arm Piece,BU391985A,1,EA,2024-10-02T20:13:51Z,Roxxon
Bucky_Arm_Vibranium_003,Arm Piece,BU474086B,1,EA,2024-10-05T06:28:32Z,Alchemax
Bucky_Arm_Vibranium_003,Arm Piece,BU797499B,1,EA,2024-07-12T03:17:20Z,Rand Corporation
Bucky_Arm_Vibranium_003,Arm Piece,BU211375A,1,EA,2024-09-15T18:37:11Z,Roxxon
Bucky_Arm_Vibranium_003,Arm Piece,BU339041A,1,EA,2024-07-20T06:39:20Z,Alchemax
Bucky_Arm_Vibranium_003,Arm Piece,BU629820A,1,EA,2024-07-04T05:12:10Z,Rand Corporation
Bucky_Arm_Vibranium_003,Arm Piece,BU768753B,1,EA,2024-09-25T21:20:06Z,Roxxon
Bucky_Arm_Vibranium_004,Arm Piece,BU839130B,1,EA,2024-09-19T04:49:31Z,Alchemax
Bucky_Arm_Vibranium_004,Arm Piece,BU479472A,1,EA,2024-09-01T09:34:38Z,Rand Corporation
Bucky_Arm_Vibranium_004,Arm Piece,BU606717C,1,EA,2024-09-23T06:04:05Z,Roxxon
Bucky_Arm_Vibranium_004,Arm Piece,BU197780A,1,EA,2024-08-27T13:52:55Z,Alchemax
Bucky_Arm_Vibranium_005,Arm Piece,BU155228B,1,EA,2024-09-14T22:36:40Z,Rand Corporation
Bucky_Arm_Vibranium_005,Arm Piece,BU564322A,1,EA,2024-09-04T08:11:00Z,Roxxon
Bucky_Arm_Vibranium_005,Arm Piece,BU667867C,1,EA,2024-08-04T15:29:47Z,Alchemax
Bucky_Arm_Vibranium_005,Arm Piece,BU182050B,1,EA,2024-08-10T04:18:29Z,Rand Corporation
Bucky_Arm_Vibranium_005,Arm Piece,BU400011B,1,EA,2024-10-11T18:30:23Z,Roxxon
Chest_Adamantium_001,Chest Plate,CH559854C,1,EA,2024-09-08T17:12:15Z,Pym Technologies
Chest_Adamantium_001,Chest Plate,CH351709A,1,EA,2024-08-16T05:14:04Z,Stark Industries
Chest_Adamantium_001,Chest Plate,CH589846A,1,EA,2024-07-17T20:17:16Z,Pym Technologies
Chest_Adamantium_001,Chest Plate,CH584523C,1,EA,2024-07-11T22:15:47Z,Stark Industries
Chest_Adamantium_002,Chest Plate,CH690953B,1,EA,2024-10-02T23:17:57Z,Pym Technologies
Chest_Adamantium_002,Chest Plate,CH711719A,1,EA,2024-08-23T00:39:42Z,Stark Industries
Chest_Adamantium_002,Chest Plate,CH102569C,1,EA,2024-07-26T02:49:24Z,Pym Technologies
Chest_Adamantium_002,Chest Plate,CH582356A,1,EA,2024-09-21T05:36:45Z,Stark Industries
Chest_Adamantium_002,Chest Plate,CH345164B,1,EA,2024-10-11T07:55:40Z,Pym Technologies
Chest_Adamantium_002,Chest Plate,CH361458A,1,EA,2024-10-25T02:19:41Z,Stark Industries
Chest_Adamantium_003,Chest Plate,CH598594B,1,EA,2024-08-28T22:18:12Z,Pym Technologies
Chest_Adamantium_003,Chest Plate,CH634572A,1,EA,2024-10-02T07:05:09Z,Stark Industries
Chest_Adamantium_003,Chest Plate,CH790150C,1,EA,2024-07-16T07:13:30Z,Pym Technologies
Chest_Adamantium_003,Chest Plate,CH716098B,1,EA,2024-10-07T23:28:22Z,Stark Industries
Chest_Adamantium_003,Chest Plate,CH964424A,1,EA,2024-10-27T03:01:43Z,Pym Technologies
Chest_Adamantium_003,Chest Plate,CH287669A,1,EA,2024-07-12T01:44:59Z,Stark Industries
Chest_Adamantium_004,Chest Plate,CH456233A,1,EA,2024-09-07T06:35:43Z,Pym Technologies
Chest_Adamantium_004,Chest Plate,CH262722C,1,EA,2024-07-04T23:31:03Z,Stark Industries
Chest_Adamantium_004,Chest Plate,CH738057B,1,EA,2024-10-17T17:20:58Z,Pym Technologies
Chest_Adamantium_004,Chest Plate,CH383199B,1,EA,2024-08-01T04:57:49Z,Stark Industries
Chest_Adamantium_004,Chest Plate,CH641145A,1,EA,2024-09-11T06:57:08Z,Pym Technologies
Chest_Adamantium_004,Chest Plate,CH471994B,1,EA,2024-09-03T04:03:10Z,Stark Industries
Chest_Adamantium_004,Chest Plate,CH707365C,1,EA,2024-09-11T19:22:19Z,Pym Technologies
Chest_Adamantium_005,Chest Plate,CH923141A,1,EA,2024-10-22T18:10:05Z,Stark Industries
Chest_Adamantium_005,Chest Plate,CH467424C,1,EA,2024-08-28T11:05:55Z,Pym Technologies
Chest_Adamantium_005,Chest Plate,CH254554B,1,EA,2024-07-06T11:40:36Z,Stark Industries
Chest_Adamantium_005,Chest Plate,CH265025B,1,EA,2024-07-20T03:12:29Z,Pym Technologies
Chest_Adamantium_005,Chest Plate,CH987150C,1,EA,2024-09-22T20:37:02Z,Stark Industries
Chest_Gold_Alloy_001,Chest Plate,CH649029B,1,EA,2024-07-15T21:50:44Z,Pym Technologies
Chest_Gold_Alloy_001,Chest Plate,CH928009B,1,EA,2024-07-15T11:20:37Z,Stark Industries
Chest_Gold_Alloy_001,Chest Plate,CH760726B,1,EA,2024-10-23T00:20:48Z,Pym Technologies
Chest_Gold_Alloy_001,Chest Plate,CH164900C,1,EA,2024-10-19T00:35:51Z,Stark Industries
Chest_Gold_Alloy_001,Chest Plate,CH116977C,1,EA,2024-08-15T00:06:53Z,Pym Technologies
Chest_Gold_Alloy_002,Chest Plate,CH459105C,1,EA,2024-09-22T02:41:44Z,Stark Industries
Chest_Gold_Alloy_002,Chest Plate,CH886232A,1,EA,2024-09-13T16:24:49Z,Pym Technologies
Chest_Gold_Alloy_002,Chest Plate,CH146917A,1,EA,2024-07-27T10:46:28Z,Stark Industries
Chest_Gold_Alloy_002,Chest Plate,CH725653C,1,EA,2024-10-01T12:31:54Z,Pym Technologies
Chest_Gold_Alloy_002,Chest Plate,CH734959B,1,EA,2024-07-22T10:41:37Z,Stark Industries
Chest_Gold_Alloy_002,Chest Plate,CH175243A,1,EA,2024-08-20T14:55:51Z,Pym Technologies
Chest_Gold_Alloy_002,Chest Plate,CH813689C,1,EA,2024-07-06T15:12:09Z,Stark Industries
Chest_Gold_Alloy_002,Chest Plate,CH437907A,1,EA,2024-09-26T09:25:44Z,Pym Technologies
Chest_Gold_Alloy_003,Chest Plate,CH585616A,1,EA,2024-08-05T17:56:27Z,Stark Industries
Chest_Gold_Alloy_003,Chest Plate,CH201878A,1,EA,2024-09-14T05:27:09Z,Pym Technologies
Chest_Gold_Alloy_003,Chest Plate,CH751116C,1,EA,2024-10-08T07:54:02Z,Stark Industries
Chest_Gold_Alloy_003,Chest Plate,CH536407A,1,EA,2024-08-06T20:55:39Z,Pym Technologies
Chest_Gold_Alloy_003,Chest Plate,CH281452C,1,EA,2024-07-26T19:18:24Z,Stark Industries
Chest_Gold_Alloy_003,Chest Plate,CH776525C,1,EA,2024-10-06T12:42:11Z,Pym Technologies
Chest_Gold_Alloy_003,Chest Plate,CH872355B,1,EA,2024-09-05T10:49:07Z,Stark Industries
Chest_Gold_Alloy_004,Chest Plate,CH455168C,1,EA,2024-08-09T15:59:34Z,Pym Technologies
Chest_Gold_Alloy_004,Chest Plate,CH745472B,1,EA,2024-09-28T13:03:18Z,Stark Industries
Chest_Gold_Alloy_004,Chest Plate,CH506557A,1,EA,2024-08-28T04:48:27Z,Pym Technologies
Chest_Gold_Alloy_004,Chest Plate,CH105035B,1,EA,2024-07-02T08:20:32Z,Stark Industries
Chest_Gold_Alloy_004,Chest Plate,CH520216C,1,EA,2024-10-13T06:26:24Z,Pym Technologies
Chest_Gold_Alloy_005,Chest Plate,CH805360C,1,EA,2024-10-02T09:58:37Z,Stark Industries
Chest_Gold_Alloy_005,Chest Plate,CH170005B,1,EA,2024-09-21T04:52:18Z,Pym Technologies
Chest_Gold_Alloy_005,Chest Plate,CH627863A,1,EA,2024-07-02T22:34:17Z,Stark Industries
Chest_Gold_Alloy_005,Chest Plate,CH523549C,1,EA,2024-10-22T07:43:28Z,Pym Technologies
Chest_Gold_Alloy_005,Chest Plate,CH465334B,1,EA,2024-07-24T10:46:14Z,Stark Industries
Chest_Gold_Alloy_005,Chest Plate,CH835587C,1,EA,2024-10-20T16:18:11Z,Pym Technologies
Chest_Gold_Alloy_005,Chest Plate,CH517185A,1,EA,2024-07-01T14:34:18Z,Stark Industries
Chest_Gold_Alloy_005,Chest Plate,CH693654C,1,EA,2024-09-04T00:26:15Z,Pym Technologies
Chest_Nano_Particle_001,Chest Plate,CH555849B,1,EA,2024-08-22T17:42:09Z,Stark Industries
Chest_Nano_Particle_001,Chest Plate,CH694762B,1,EA,2024-09-03T14:37:23Z,Pym Technologies
Chest_Nano_Particle_001,Chest Plate,CH108292C,1,EA,2024-08-04T19:34:55Z,Stark Industries
Chest_Nano_Particle_001,Chest Plate,CH644952B,1,EA,2024-08-22T15:52:23Z,Pym Technologies
Chest_Nano_Particle_001,Chest Plate,CH744594B,1,EA,2024-10-19T10:02:43Z,Stark Industries
Chest_Nano_Particle_002,Chest Plate,CH468497A,1,EA,2024-09-14T16:29:55Z,Pym Technologies
Chest_Nano_Particle_002,Chest Plate,CH818761A,1,EA,2024-08-05T12:55:46Z,Stark Industries
Chest_Nano_Particle_002,Chest Plate,CH940163C,1,EA,2024-08-04T20:21:09Z,Pym Technologies
Chest_Nano_Particle_002,Chest Plate,CH286924A,1,EA,2024-08-06T00:06:12Z,Stark Industries
Chest_Nano_Particle_002,Chest Plate,CH834763A,1,EA,2024-08-18T21:49:10Z,Pym Technologies
Chest_Nano_Particle_002,Chest Plate,CH210690B,1,EA,2024-07-24T23:50:11Z,Stark Industries
Chest_Nano_Particle_002,Chest Plate,CH578912C,1,EA,2024-08-24T23:18:45Z,Pym Technologies
Chest_Nano_Particle_002,Chest Plate,CH322812B,1,EA,2024-07-19T16:21:29Z,Stark Industries
Chest_Nano_Particle_002,Chest Plate,CH329893B,1,EA,2024-07-24T06:39:19Z,Pym Technologies
Chest_Nano_Particle_003,Chest Plate,CH945469C,1,EA,2024-07-08T08:40:20Z,Stark Industries
Chest_Nano_Particle_003,Chest Plate,CH803174C,1,EA,2024-09-02T06:04:23Z,Pym Technologies
Chest_Nano_Particle_003,Chest Plate,CH245498C,1,EA,2024-08-22T04:51:09Z,Stark Industries
Chest_Nano_Particle_003,Chest Plate,CH828403B,1,EA,2024-09-09T04:02:18Z,Pym Technologies
Chest_Nano_Particle_003,Chest Plate,CH228623A,1,EA,2024-10-22T04:50:26Z,Stark Industries
Chest_Nano_Particle_003,Chest Plate,CH973777A,1,EA,2024-10-13T05:42:53Z,Pym Technologies
Chest_Nano_Particle_003,Chest Plate,CH596678B,1,EA,2024-10-15T11:47:25Z,Stark Industries
Chest_Nano_Particle_003,Chest Plate,CH697816A,1,EA,2024-08-10T08:06:05Z,Pym Technologies
Chest_Nano_Particle_003,Chest Plate,CH152345B,1,EA,2024-09-11T12:42:08Z,Stark Industries
Chest_Nano_Particle_004,Chest Plate,CH944910C,1,EA,2024-10-24T09:17:00Z,Pym Technologies
Chest_Nano_Particle_004,Chest Plate,CH791384B,1,EA,2024-09-04T21:45:26Z,Stark Industries
Chest_Nano_Particle_004,Chest Plate,CH824887B,1,EA,2024-09-02T16:51:37Z,Pym Technologies
Chest_Nano_Particle_004,Chest Plate,CH553542C,1,EA,2024-09-16T14:25:17Z,Stark Industries
Chest_Nano_Particle_004,Chest Plate,CH113751C,1,EA,2024-08-05T01:54:33Z,Pym Technologies
